url,name,description,adaptive_support,remote_support,duration,test_type
https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,OPQ Emotional Intelligence Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-leadership-report/,OPQ Leadership Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,OPQ Manager Plus Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,OPQ Manager Plus Report 2.0,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,OPQ Maximising your Learning Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,OPQ MQ Sales Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,OPQ Premium Plus Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,OPQ Premium Plus Report 2.0,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-profile-report/,OPQ Profile Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,OPQ Team Impact Group Development Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,OPQ Team Impact Individual Development Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,OPQ Team Impact Selection Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,OPQ Team Types & Leadership Styles Profile,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,OPQ Team Types and Leadership Styles Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,OPQ UCF Development Action Planner Report 1.0,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,OPQ UCF Development Action Planner Report 2.0,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,OPQ Universal Competency Report 1.0,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,OPQ Universal Competency Report 2.0,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,OPQ User and Managers Report,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/opq-user-report/,OPQ User Report,,No,Yes,30,Personality & Behavior|Simulations
https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,Oracle DBA (Advanced Level) (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,Oracle DBA (Entry Level) (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,Oracle PL/SQL (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,Oracle WebLogic Server (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,Organic Chemistry (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/paint-technology-new/,Paint Technology (New),,No,Yes,30,Knowledge & Skills
